Level,Item Number,Partnumber,Manufacturer P/N,Quantity
4,6,72-00048,Heat Pipe Gimbal Frame,1
4,7,74-00055,MF 85 2Z,4
4,8,74-00056,"Screw, WN 1451/KN 1038, 2x6, T6",9
4,9,74-00071,"Screw, ISO 14580, M3(3)x6, TX10",2
4,10,83-00016,Mirror Unit,1
5,1,71-00051,Mirror Holder,1
5,2,75-00011,"OMS-M2540PG-4-C, 27 x 42mm, PROTECTED GOLD, LAMBDA/4",1
5,3,79-00005,3M™ Adhesive Transfer Tape 9473PC,1
1,2,83-00010,"ASM, COOLING MODULE, PEARL ORB",1
2,1,71-00059,Cooling Air Intake,1
2,2,71-00060,Cooling Air Outlet,1
2,3,72-00030,Cooling Adapter Jetson Xavier,1
2,4,72-00044,Heat Sink,1
2,5,72-00045,OCS Heat Pipe Clamp,1
2,6,72-00050,Heat Collector Sheet,1
2,7,72-00057,Heat Sink SSD,1
2,8,74-00052,"Screw, WN 1451/KN 1038, K30(3)x12, T10",5
2,9,74-00053,"Screw, ISO14583, M3(3)x8, T10",8
2,10,74-00058,"Screw, KN6038, 2.5x25, T8",2
2,11,74-00076,"Screw, ISO14583, M3(3)x12, T10",4
2,12,74-00083,shoulder screw Nvidia Jetson Xavier,4
2,13,75-00065,Leaf spring Nvidia Jetson Xavier,1
2,14,76-00012,Gap filler pad GEL 60 10 - 10mm x 13mm x 1mm,4
2,15,76-00014,Gap filler pad GEL 60 10 - 16mm x 21mm x 1mm,1
2,16,76-00015,Gap Filler SSD,1
2,17,76-00032,"O-Ring 14,0 x 2,0 mm EPDM70+/- 5 Shore A black",2
2,18,76-00034,Gap filler pad Heatsink,1
1,3,83-00011,"ASM, CHASSIS, PEARL ORB",1
2,1,71-00037,Frame Bottom,1
2,2,71-00038,Battery Holder,1
2,3,71-00043,Shell Light Guide Mount,1
2,4,71-00047,Shell Operator Button,1
2,6,72-00022,Frame Aluminium Ring,1
2,7,72-00033,Frame Sheet Metal Holder,1
2,8,74-00007,"Screw, ISO14581, M2.5(2.5)x8, T8",2
2,9,74-00052,"Screw, WN 1451/KN 1038, K30(3)x12, T10",13
2,10,74-00056,"Screw, WN 1451/KN 1038, 2x6, T6",2
2,11,74-00057,"Screw, ISO14583, M2(2)x5, T6",3
2,13,76-00010,UEBK-30358D,1
2,15,76-00040,Foam battery bumper,1
1,4,83-00012,"ASM, ELECTRONICS MODULE, PEARL ORB",1
2,1,81-00013,"PCBA, BRIDGE BOARD, PEARL ORB",1
3,1,61-00599,R0603-0R-63mW-1%-400ppm-50V,21
