Level,Item Number,Partnumber,Manufacturer P/N,Quantity
3,32,61-00369,"LPC4330FET100,551",1
3,33,61-00197,"PMEG6010CEJ,115",1
3,34,61-00370,TMC5041-LA,1
3,35,61-00216,TMUX1209RSVR,1
3,36,61-00590,TPS62825ADMQR,1
3,37,61-00438,TPS62933DRLR,2
3,38,61-00106,TSX-3225 24.0000MF10Z-C,1
3,39,61-00360,W25Q32JVZPIQ,1
3,40,63-00020,"PCB (UNPOPULATED), Bridge Board, EVT",1
2,2,81-00014,"PCBA, MAINBOARD, PEARL ORB",1
3,1,61-00171,2199230-3,1
3,2,61-00073,2199230-4,1
3,3,61-00168,1-2199230-5,1
3,4,61-00191,2309413-1,1
3,5,62-00036,470531000,2
3,6,61-00154,61300211121,1
3,7,61-00155,61303021121,1
3,8,62-00037,61300411821,1
3,9,61-00156,61400826021,1
3,10,62-00011,62000211622,2
3,11,61-00159,629105150921,1
3,12,61-00160,636101111001,1
3,13,61-00161,645005114822,1
3,14,61-00162,665302124022,2
3,15,62-00038,665303124022,1
3,16,62-00039,665306124022,1
3,17,61-00069,685119134923,1
3,18,61-00163,687106149022,2
3,19,61-00164,687122149022,1
3,20,61-00071,693043020611,1
3,21,62-00040,79527141,1
3,22,64-00002,9774025360R,7
3,23,64-00006,9774060360R,3
3,24,64-00003,9774065151R,2
3,25,61-00188,G639F100151102HR,1
3,26,61-00092,742792097,6
3,27,61-00151,74279252,10
3,28,61-00152,744043220,2
3,29,61-00153,7447714068,1
3,30,61-00157,74404054100,4
3,31,61-00439,744062001,5
3,32,61-00488,744071039,2
3,33,61-00158,74439369033,2
3,34,61-00498,850617022001,5
3,35,61-00166,860080678021,1
3,36,61-00083,865060553007,1
3,37,61-00444,875115252003,7
3,38,61-00606,C0402-220p-25V-10%-X7R,5
3,39,61-00605,C0402-100n-16V-20%-X5R,12
3,40,61-00608,C0603-27p-50V-20%-C0G,16
3,41,61-00611,C0603-2n2-50V-10%-X7R,4
3,42,61-00616,C0603-10n-50V-20%-X5R,19
